"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Recurrent & Unclassified","5.48%","783 hrs","$27,699","$5,065","$32,765"
"Weather","5.36%","767 hrs","$27,118","$4,959","$32,077"
"Unclassified","52.88%","7,558 hrs","$267,338","$48,887","$316,225"
"Signals","3.92%","561 hrs","$19,826","$3,626","$23,452"
"Holiday & Weather","0.33%","47 hrs","$1,665","$305","$1,970"
"Holiday & Signals","0.3%","42 hrs","$1,497","$274","$1,771"
"Recurrent","22.21%","3,175 hrs","$112,315","$20,539","$132,854"
"Recurrent & Weather","0.2%","28 hrs","$987","$181","$1,168"
"Incidents","0.11%","15 hrs","$537","$98","$635"
"Signals & Weather","0.85%","121 hrs","$4,276","$782","$5,058"
"Holiday & Recurrent","0.83%","119 hrs","$4,197","$767","$4,964"
"Holiday","7.54%","1,078 hrs","$38,130","$6,973","$45,103"
"Totals","100.0%","14,294 hrs","$505,586","$92,455","$598,041"
