"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Unclassified","0.02%","70 hrs","$2,476","$453","$2,929"
"Holiday, Recurrent, Signals & Weather","0.11%","334 hrs","$11,821","$2,162","$13,982"
"Signals","11.11%","32,772 hrs","$1,159,151","$211,970","$1,371,121"
"Recurrent, Signals & Weather","1.21%","3,555 hrs","$125,756","$22,997","$148,753"
"Holiday & Signals","1.18%","3,478 hrs","$123,034","$22,499","$145,533"
"Recurrent & Signals","8.6%","25,359 hrs","$896,936","$164,020","$1,060,955"
"Recurrent","76.79%","226,474 hrs","$8,010,395","$1,464,836","$9,475,231"
"Holiday, Signals & Weather","0.07%","220 hrs","$7,777","$1,422","$9,199"
"Signals & Weather","0.46%","1,344 hrs","$47,523","$8,690","$56,213"
"Holiday, Recurrent & Signals","0.44%","1,306 hrs","$46,195","$8,447","$54,642"
"Totals","100.0%","294,913 hrs","$10,431,063","$1,907,496","$12,338,559"
