"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Weather","0.07%","64 hrs","$2,260","$413","$2,674"
"Holiday","0.07%","62 hrs","$2,187","$400","$2,586"
"Recurrent & Signals","7.57%","6,527 hrs","$230,862","$42,217","$273,079"
"Holiday, Signals & Weather","0.58%","498 hrs","$17,612","$3,221","$20,833"
"Signals","51.41%","44,355 hrs","$1,568,843","$286,889","$1,855,732"
"Incidents, Recurrent & Signals","0.43%","371 hrs","$13,138","$2,402","$15,540"
"Holiday, Recurrent, Signals & Weather","0.39%","338 hrs","$11,970","$2,189","$14,159"
"Signals & Weather","4.26%","3,674 hrs","$129,938","$23,761","$153,700"
"Recurrent","28.98%","25,000 hrs","$884,237","$161,698","$1,045,934"
"Holiday, Recurrent & Signals","0.28%","240 hrs","$8,500","$1,554","$10,054"
"Holiday & Signals","3.19%","2,754 hrs","$97,399","$17,811","$115,210"
"Holiday & Weather","0.02%","18 hrs","$649","$119","$768"
"Incidents & Signals","0.12%","107 hrs","$3,790","$693","$4,484"
"Unclassified","1.33%","1,145 hrs","$40,493","$7,405","$47,898"
"Recurrent, Signals & Weather","1.3%","1,119 hrs","$39,571","$7,236","$46,807"
"Totals","100.0%","86,272 hrs","$3,051,449","$558,009","$3,609,458"
