"Causes of Congestion","Percentages","Vehicle Hours of Delay","Passenger","Commercial","Total Delay Cost"
"Incidents, Signals & Work Zone","1.39%","80 hrs","$2,823","$516","$3,339"
"Holiday","13.4%","767 hrs","$27,128","$4,961","$32,089"
"Work Zone","1.17%","67 hrs","$2,364","$432","$2,796"
"Incidents, Signals, Weather & Work Zone","1.09%","62 hrs","$2,200","$402","$2,602"
"Signals","10.8%","618 hrs","$21,861","$3,998","$25,859"
"Holiday & Weather","0.73%","42 hrs","$1,483","$271","$1,754"
"Weather","7.2%","412 hrs","$14,571","$2,665","$17,236"
"Holiday & Signals","7.04%","403 hrs","$14,255","$2,607","$16,862"
"Incidents","0.06%","4 hrs","$126","$23","$149"
"Signals & Work Zone","6.72%","384 hrs","$13,598","$2,487","$16,085"
"Weather & Work Zone","0.06%","3 hrs","$114","$21","$135"
"Signals & Weather","0.37%","21 hrs","$744","$136","$881"
"Unclassified","45.15%","2,584 hrs","$91,387","$16,712","$108,099"
"Signals, Weather & Work Zone","2.5%","143 hrs","$5,055","$924","$5,979"
"Holiday, Signals & Work Zone","2.29%","131 hrs","$4,642","$849","$5,491"
"Holiday, Weather & Work Zone","0.03%","1 hrs","$53","$10","$63"
"Totals","100.0%","5,723 hrs","$202,405","$37,013","$239,418"
