,id,delay_cost,vehicle_hours_of_delay
146,DEK_I-285 N,42786027.35,1022659.5
147,DEK_I-285 S,30259873.51,723262.9
148,DEK_I-675,1538889.29,36782.1
149,DEK_I-85,69359116.63,1657801.9
150,DEK_I-85 MAG,10571.88,252.7
151,DEK_PANOLA,470742.9,11251.6
152,DEK_REDAN,936063.67,22373.5
153,DEK_SNAPFINGER,783396.65,18724.5
154,DEK_US-23,3075499.44,73509.7
155,DEK_US-278 E,7222323.88,172625.9
156,DEK_US-278 W,688450.47,16455.1
157,DEK_US-29,6899306.15,164905.3
158,DEK_US-78,3567492.46,85269.2
159,DEK_VERNON,657758.88,15721.6
160,DEK_WESLEY,1840002.39,43979.2
161,DOU_GA-154,1182151.77,28255.5
162,DOU_GA-166,23630.12,564.8
163,DOU_GA-5,462063.78,11044.1
164,DOU_GA-6,8439993.37,201730.3
165,DOU_GA-92,1460042.91,34897.5
166,DOU_I-20 E,6683235.52,159740.8
167,DOU_I-20 W,3387482.82,80966.7
168,DOU_US-78,1702311.19,40688.2
169,FAY_GA-314,110924.24,2651.3
170,FAY_GA-54,4629367.28,110649.8
171,FAY_GA-74,710531.65,16982.9
172,FAY_GA-85 N,865993.0,20698.7
173,FAY_GA-85 S,941057.64,22492.9
174,FAY_GA-92 N,31260.03,747.2
175,FAY_GA-92 S,95851.23,2291.0
176,FAY_JOEL,19111.47,456.8
177,FAY_TYRONE,336893.77,8052.3
178,FOR_ATLANTA,1105561.93,26424.8
179,FOR_GA-141,4017084.22,96015.2
180,FOR_GA-20,6874615.53,164315.1
181,FOR_GA-306,5744029.49,137292.2
182,FOR_GA-369 E,4543034.57,108586.3
183,FOR_GA-369 W,531752.0,12709.8
184,FOR_GA-53,61089.68,1460.1
185,FOR_GA-9,-999.0,-999.0
186,FOR_US-19 N,9167306.24,219114.4
187,FOR_US-19 S,2674704.37,63930.0
188,FUL_ABERNATHY,1423732.47,34029.6
189,FUL_CAMPBELLTON,1057.01,25.3
190,FUL_CASCADE,157553.6,3765.8
191,FUL_COCHRAN,551.77,13.2
192,FUL_DECATUR,310299.98,7416.7
193,FUL_FULTON,177014.28,4230.9
194,FUL_FULTON N,2038696.76,48728.4
195,FUL_FULTON S,541991.74,12954.5
196,FUL_GA-10,357273.4,8539.4
197,FUL_GA-120,6873420.75,164286.6
198,FUL_GA-13,17081039.53,408266.2
199,FUL_GA-138,993121.18,23737.3
200,FUL_GA-139,268500.99,6417.6
201,FUL_GA-14,96809.58,2313.9
202,FUL_GA-140,8166178.07,195185.7
203,FUL_GA-141,2998875.25,71678.3
204,FUL_GA-154,152722.68,3650.3
