category,pct_2023,pct_2022
Recurrent,0.2707,0.0861
Signals,0.7774000000000001,0.9135000000000001
Incidents,0.001,0.0026
Weather,0.0693,0.146
Work Zone,0.0835,0.1592
Holiday,0.045,0.0634
Unclassified,0,5e-4
