category,pct_2023,pct_2022
Recurrent,0.5216,0.4921
Signals,0,0
Incidents,0,0.3078
Weather,0.0936,0.1099
Work Zone,0.022,0.1055
Holiday,0.0395,0.041699999999999994
Unclassified,0.47619999999999996,0.21389999999999998
