category,pct_2022,pct_2021
Recurrent,0.10880000000000001,0.0337
Signals,0,0
Incidents,0.579,0.7334
Weather,0.2307,0.2025
Work Zone,0.3609,0.5225
Holiday,0.0349,0.1218
Unclassified,0.18439999999999998,0.1372
