category,pct_2023,pct_2022,pct_2021
Recurrent,0.5017,0.4023,0.39870000000000005
Signals,0.5885,0.6825,0.6775
Incidents,0.0036,0.0528,0.0594
Weather,0.06420000000000001,0.065,0.092
Work Zone,0.0726,0.2217,0.23539999999999997
Holiday,0.0409,0.0557,0.09399999999999999
Unclassified,0.008,0.0016,0.0012
