category,pct_2022,pct_2021
Recurrent,0.7655000000000001,0.7111999999999999
Signals,0.0607,0.10679999999999999
Incidents,0.0144,0.0193
Weather,0.0386,0.0506
Work Zone,0.0297,0.0735
Holiday,0.0299,0.0296
Unclassified,0.1233,0.1048
