category,pct_2023,pct_2022,pct_2021
Recurrent,0,0,0
Signals,0,0,0
Incidents,0,0.1008,0.012199999999999999
Weather,0.0155,0.0426,0.15080000000000002
Work Zone,0,0.1281,0.06269999999999999
Holiday,0.0155,0.12869999999999998,0.09949999999999999
Unclassified,0.9845,0.6057,0.6949
