category,pct_2023,pct_2022
Recurrent,0.7342000000000001,0.7921999999999999
Signals,0,0
Incidents,0.0089,0.0253
Weather,0.0366,0.0386
Work Zone,0,7.000000000000001e-4
Holiday,0.0216,0.019799999999999998
Unclassified,0.2342,0.1668
