category,pct_2023,pct_2021
Recurrent,0,0
Signals,0,0
Incidents,0.852,0.6491
Weather,0.0029,0.038
Work Zone,0.3145,0.333
Holiday,0.0060999999999999995,0.2344
Unclassified,0.1026,0.1432
