category,pct_2023,pct_2021
Recurrent,0,0
Signals,0,0
Incidents,0,0
Weather,0.4393,0.0189
Work Zone,0.005699999999999999,0.032
Holiday,0.0059,0.2138
Unclassified,0.5492,0.7353000000000001
