category,pct_2023,pct_2022,pct_2021
Recurrent,0.2979,0.3255,0.2773
Signals,0.6933,0.6809999999999999,0.7313
Incidents,0.0011,0.0615,0.0329
Weather,0.0705,0.0663,0.1076
Work Zone,0.0188,0.1827,0.16629999999999998
Holiday,0.0476,0.0547,0.0814
Unclassified,0.0206,0.0085,0.013000000000000001
