category,pct_2022,pct_2021
Recurrent,0,0
Signals,0.3089,0.2184
Incidents,0.131,0.1646
Weather,0.0717,0.1848
Work Zone,0.1518,0.055
Holiday,0.1041,0.3683
Unclassified,0.3696,0.42369999999999997
